Rank,RMSE,Length,Model Equation
161,0.7867,11,"div(add(M, EN), add(div(Pr, E), div(E, 7.135)))"
162,0.7869,16,"mul(0.482, add(add(M, div(div(Ce, Pr), neg(La))), div(mul(E, 6.268), La)))"
163,0.7870,9,"mul(0.482, sub(M, mul(-6.174, div(E, La))))"
164,0.7870,9,"mul(0.482, add(M, div(6.177, div(La, E))))"
165,0.7870,9,"mul(0.482, add(M, mul(div(6.178, La), E)))"
166,0.7870,9,"mul(0.482, add(M, div(E, div(La, 6.181))))"
167,0.7870,9,"mul(0.482, add(M, mul(E, div(6.163, La))))"
168,0.7870,10,"mul(0.482, add(M, div(E, div(La, neg(-6.184)))))"
169,0.7870,9,"mul(0.482, add(M, mul(E, div(6.187, La))))"
170,0.7870,9,"mul(0.482, add(M, mul(div(6.187, La), E)))"
171,0.7870,13,"mul(0.482, add(M, div(E, div(add(IE, La), add(EN, Pr)))))"
172,0.7870,10,"mul(0.482, add(M, div(E, div(La, neg(-6.155)))))"
173,0.7871,9,"mul(0.482, add(mul(E, div(6.202, La)), M))"
174,0.7872,9,"mul(0.482, add(M, mul(E, div(6.208, La))))"
175,0.7872,9,"mul(0.482, add(M, mul(div(E, La), 6.211)))"
176,0.7874,9,"mul(0.482, add(M, div(E, div(La, 6.126))))"
177,0.7874,16,"div(add(Gd, add(div(mul(div(mul(Nd, Sm), neg(-5.396)), EN), LAS), E)), 3.055)"
178,0.7875,9,"mul(0.482, add(div(mul(E, 6.116), La), M))"
179,0.7879,10,"mul(0.482, add(M, div(E, div(La, neg(-6.247)))))"
180,0.7879,10,"mul(0.482, add(M, div(mul(-6.097, E), neg(La))))"
181,0.7880,10,"mul(0.482, add(M, neg(mul(-6.251, div(E, La)))))"
182,0.7881,11,"div(add(LAS, EN), add(div(LAS, E), div(IE, Gd)))"
183,0.7881,11,"div(add(LAS, EN), add(div(LAS, E), div(IE, Gd)))"
184,0.7881,11,"div(add(Gd, Sm), add(div(Sm, E), div(IE, EN)))"
185,0.7881,11,"div(add(Sm, Gd), add(div(IE, EN), div(Sm, E)))"
186,0.7881,11,"div(add(Sm, Pr), add(div(Sm, E), div(IE, EN)))"
187,0.7881,11,"div(add(Gd, Sm), add(div(Sm, E), div(IE, EN)))"
188,0.7881,11,"div(add(Sm, Pr), add(div(Sm, E), div(IE, EN)))"
189,0.7881,11,"div(add(Sm, Gd), add(div(Sm, E), div(IE, EN)))"
190,0.7881,11,"div(add(Sm, Gd), add(div(Sm, E), div(IE, EN)))"
191,0.7884,10,"mul(0.482, add(M, mul(E, div(neg(-6.082), La))))"
192,0.7885,11,"div(add(Sm, Gd), add(div(Sm, EN), div(IE, E)))"
193,0.7885,11,"div(add(Sm, Pr), add(div(Sm, EN), div(IE, E)))"
194,0.7885,11,"div(add(Sm, Pr), add(div(Sm, EN), div(IE, E)))"
195,0.7885,11,"div(add(Sm, Pr), add(div(Sm, EN), div(IE, E)))"
196,0.7885,11,"div(add(Sm, Pr), add(div(Sm, EN), div(IE, E)))"
197,0.7886,9,"mul(0.486, add(M, div(mul(E, 5.970), La)))"
198,0.7886,11,"div(add(R, E), add(div(R, Pr), div(IE, EN)))"
199,0.7886,11,"div(add(R, E), add(div(R, Gd), div(IE, EN)))"
200,0.7886,11,"div(add(R, E), add(div(IE, EN), div(R, Pr)))"
201,0.7886,11,"div(add(R, E), add(div(R, Gd), div(IE, EN)))"
202,0.7886,11,"div(add(R, E), add(div(R, Gd), div(IE, EN)))"
203,0.7886,11,"div(add(R, E), add(div(R, Pr), div(IE, EN)))"
204,0.7886,11,"div(add(R, E), add(div(R, Pr), div(IE, EN)))"
205,0.7886,11,"div(add(E, R), add(div(IE, EN), div(R, Gd)))"
206,0.7886,11,"div(add(R, E), add(div(R, Pr), div(IE, EN)))"
207,0.7886,11,"div(add(R, E), add(div(R, Gd), div(IE, EN)))"
208,0.7886,11,"div(add(R, E), add(div(IE, EN), div(R, Pr)))"
209,0.7886,9,"mul(0.482, add(mul(M, div(E, La)), 6.050))"
210,0.7886,9,"mul(0.482, add(M, mul(E, div(6.074, La))))"
