Rank,RMSE,Length,Model Equation
66,0.4981,28,"add(div(sub(Pr, E), div(Sm, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), E))"
67,0.4981,28,"add(div(sub(Pr, E), div(Sm, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), E))"
68,0.4981,28,"add(div(sub(Pr, E), div(Sm, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), E))"
69,0.4981,28,"add(div(sub(Pr, E), div(Sm, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), E))"
70,0.4981,45,"add(div(add(div(neg(La), sub(M, E)), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Gd, LAS))), E)), mul(sub(R, Y), mul(E, Gd))), add(div(sub(Pr, E), add(sub(Nd, Sm), E)), E))"
71,0.4981,27,"add(div(add(div(Y, sub(E, M)), M), mul(mul(LAS, Gd), sub(R, Y))), add(div(sub(Pr, E), add(sub(E, Ce), E)), E))"
72,0.4981,27,"add(div(add(div(La, sub(E, M)), M), mul(sub(R, Y), mul(Nd, LAS))), add(div(sub(Pr, E), add(sub(Nd, Pr), E)), E))"
73,0.4987,33,"add(div(add(div(div(neg(R), div(add(neg(E), M), La)), M), EN), mul(sub(R, Y), mul(M, Sm))), add(div(div(sub(Sm, E), E), sub(Nd, E)), E))"
74,0.4997,41,"add(div(sub(7.604, E), add(div(add(div(neg(-3.561), sub(M, E)), M), mul(sub(R, M), mul(Gd, LAS))), E)), add(div(add(div(neg(Y), sub(M, E)), M), mul(sub(R, Y), mul(Gd, LAS))), E))"
75,0.5000,41,"add(div(sub(Pr, E), E), add(div(div(sub(Pr, E), add(sub(Nd, Pr), E)), add(div(La, sub(E, M)), E)), add(div(add(div(La, sub(E, M)), M), mul(sub(R, Y), mul(Gd, Nd))), E)))"
76,0.5003,47,"add(div(Ce, mul(sub(Gd, E), mul(Gd, Gd))), add(div(Ce, mul(sub(R, Y), mul(add(div(E, add(div(div(sub(Pr, E), E), mul(sub(La, E), E)), E)), E), Gd))), add(div(sub(Gd, E), mul(sub(La, E), Y)), E)))"
77,0.5012,28,"add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Gd, E))), add(div(sub(Pr, E), add(sub(Nd, Sm), E)), E))"
78,0.5019,45,"add(div(add(div(div(neg(R), div(sub(M, E), Y)), add(div(LAS, add(add(div(neg(La), sub(M, E)), Sm), mul(sub(R, Y), mul(M, LAS)))), Sm)), Sm), mul(sub(R, Y), mul(M, LAS))), add(sub(Pr, 6.615), E))"
79,0.5024,42,"add(div(add(div(div(neg(R), div(sub(M, E), Ce)), add(add(div(add(div(sub(Pr, E), Nd), Ce), sub(R, Y)), E), E)), Ce), mul(sub(R, Y), mul(Gd, Nd))), add(div(sub(Pr, E), E), E))"
80,0.5034,38,"add(div(add(div(neg(Y), sub(M, E)), M), mul(sub(R, Y), mul(LAS, Gd))), add(div(sub(Pr, E), add(div(Sm, sub(Sm, E)), sub(add(div(sub(Sm, E), E), E), E))), E))"
81,0.5038,71,"add(div(sub(Sm, E), add(sub(Nd, Pr), E)), add(div(add(div(div(neg(R), div(add(neg(E), M), Ce)), add(div(sub(Sm, E), add(add(sub(Sm, 6.744), E), E)), add(div(Ce, add(div(add(div(div(neg(R), div(add(neg(E), M), R)), M), Pr), mul(sub(R, Y), mul(Pr, Gd))), E)), E))), Pr), mul(sub(R, Y), mul(E, Gd))), E))"
82,0.5043,38,"add(div(add(div(div(neg(R), div(sub(M, E), Y)), add(div(sub(mul(E, Nd), mul(Ce, M)), E), E)), Gd), mul(sub(R, Y), mul(LAS, Gd))), add(div(sub(Sm, E), E), E))"
83,0.5044,31,"add(div(sub(mul(div(M, E), mul(div(M, E), add(sub(Sm, E), div(sub(Ce, R), sub(M, E))))), div(div(La, Nd), sub(Y, R))), Nd), E)"
84,0.5045,27,"add(div(add(div(Y, sub(E, M)), M), mul(sub(R, Y), mul(Gd, LAS))), add(div(sub(Pr, E), add(sub(E, Pr), Nd)), E))"
85,0.5057,29,"add(div(add(div(neg(R), add(neg(E), M)), Sm), mul(sub(R, Y), mul(R, LAS))), add(div(sub(Pr, E), div(Pr, sub(Pr, E))), E))"
86,0.5059,45,"add(div(add(div(div(neg(R), div(sub(M, E), IE)), E), M), mul(sub(R, Y), mul(LAS, Gd))), add(div(sub(Sm, E), add(div(add(add(div(R, mul(sub(R, Y), sub(Sm, E))), E), M), neg(EN)), E)), E))"
87,0.5059,37,"add(div(sub(Sm, E), add(div(R, add(neg(La), sub(Sm, E))), E)), add(div(add(div(div(neg(Y), div(sub(M, E), La)), Gd), E), mul(sub(R, Y), mul(R, LAS))), E))"
88,0.5086,29,"add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), add(div(div(Pr, add(neg(sub(Pr, E)), E)), E), E))"
89,0.5086,42,"add(div(add(div(neg(Y), sub(M, E)), M), mul(sub(R, Y), mul(Nd, LAS))), add(div(sub(Pr, E), add(div(sub(Pr, div(add(E, M), EN)), neg(add(div(neg(Y), sub(M, E)), EN))), E)), E))"
90,0.5091,42,"add(div(add(div(div(neg(R), div(add(neg(E), M), La)), E), EN), mul(sub(R, Y), mul(Nd, LAS))), add(div(sub(Sm, E), add(div(neg(add(add(div(sub(Sm, E), E), E), E)), E), E)), E))"
91,0.5091,46,"add(div(sub(Pr, E), add(sub(Pr, div(add(M, mul(Gd, Nd)), mul(sub(R, Y), sub(Pr, E)))), E)), add(div(sub(Pr, E), E), add(div(add(M, div(neg(R), sub(M, E))), mul(sub(R, Y), mul(LAS, Gd))), E)))"
92,0.5098,27,"add(div(sub(Pr, E), add(sub(E, Ce), E)), add(div(add(div(-4.165, sub(M, E)), E), mul(sub(R, Y), mul(IE, LAS))), E))"
93,0.5098,75,"add(div(div(sub(Pr, add(div(add(div(sub(M, E), E), add(div(add(div(neg(Y), sub(M, E)), M), mul(add(div(add(div(-4.881, sub(M, E)), M), mul(sub(R, Y), mul(LAS, Gd))), E), mul(LAS, Gd))), E)), mul(sub(R, Y), mul(LAS, Gd))), E)), La), sub(Y, E)), add(div(add(div(neg(Y), sub(M, E)), M), mul(sub(R, Y), mul(LAS, Gd))), E))"
94,0.5105,32,"add(div(add(div(div(neg(R), div(sub(M, E), La)), M), Gd), mul(sub(R, Y), mul(Gd, LAS))), add(div(sub(Pr, E), add(sub(La, Pr), E)), E))"
95,0.5106,47,"add(div(sub(Pr, E), add(div(div(add(div(sub(mul(Pr, La), mul(-6.266, La)), neg(neg(La))), M), div(neg(Y), sub(M, E))), E), E)), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(E, Gd))), E))"
96,0.5108,51,"add(add(Pr, -6.664), add(div(add(div(neg(La), sub(M, E)), Sm), mul(sub(R, Y), mul(add(div(Gd, add(add(Pr, -6.664), add(div(add(div(neg(sub(M, E)), sub(M, E)), M), div(E, mul(sub(R, Y), mul(Nd, Gd)))), E))), E), LAS))), E))"
97,0.5116,33,"add(div(add(div(div(neg(Ce), div(add(neg(E), M), La)), Nd), EN), mul(sub(R, Y), mul(Gd, Pr))), add(div(mul(div(sub(Pr, E), E), Pr), E), E))"
98,0.5118,57,"add(div(add(div(neg(Y), sub(M, E)), add(div(add(Gd, div(sub(R, Y), mul(sub(R, Y), div(add(div(neg(La), sub(M, E)), Sm), mul(sub(R, Y), mul(add(sub(M, E), E), LAS)))))), E), Nd)), mul(sub(R, Y), mul(M, LAS))), add(div(sub(Pr, E), E), E))"
