Rank,RMSE,Length,Model Equation
54,0.6271,33,"sub(add(div(sub(M, Y), Y), E), div(add(add(mul(sub(La, EN), sub(Nd, 5.100)), mul(sub(La, Ce), sub(Nd, LAS))), mul(sub(La, E), sub(Nd, IE))), 3.771))"
55,0.6285,18,"add(div(neg(sub(La, add(div(sub(Nd, R), sub(Nd, LAS)), EN))), sub(Nd, Y)), E)"
56,0.6285,17,"add(div(sub(add(div(sub(Nd, R), sub(Nd, LAS)), EN), La), sub(Nd, Y)), E)"
57,0.6285,18,"add(div(neg(sub(La, add(div(sub(Nd, R), sub(Nd, LAS)), EN))), sub(Nd, Y)), E)"
58,0.6285,18,"add(div(neg(sub(La, add(div(sub(Nd, R), sub(Nd, LAS)), EN))), sub(Nd, Y)), E)"
59,0.6285,18,"add(div(neg(sub(La, add(div(sub(Nd, R), sub(Nd, LAS)), EN))), sub(Nd, Y)), E)"
60,0.6285,18,"add(div(neg(sub(La, add(div(sub(Nd, R), sub(Nd, LAS)), EN))), sub(Nd, Y)), E)"
61,0.6326,17,"add(div(sub(add(div(sub(Sm, E), sub(Nd, LAS)), M), La), sub(Nd, Y)), E)"
62,0.6326,18,"add(div(neg(sub(La, add(div(sub(Sm, E), sub(Nd, LAS)), M))), sub(Nd, Y)), E)"
63,0.6335,18,"add(div(sub(add(div(sub(M, E), neg(sub(LAS, Nd))), EN), La), sub(Nd, Y)), E)"
64,0.6342,21,"add(div(sub(Sm, Y), mul(sub(EN, Nd), Y)), add(div(sub(Gd, LAS), div(Gd, sub(Pr, LAS))), E))"
65,0.6344,19,"add(div(sub(Sm, Y), mul(sub(EN, Nd), Y)), add(div(sub(Gd, LAS), add(-1.908, LAS)), E))"
66,0.6357,27,"add(div(div(sub(LAS, IE), sub(IE, La)), Ce), add(div(mul(sub(Nd, Y), sub(Sm, La)), 2.849), add(div(sub(7.095, Y), 2.849), E)))"
67,0.6384,29,"add(div(sub(sub(M, R), add(add(sub(La, M), mul(sub(La, E), sub(Nd, E))), mul(sub(La, EN), sub(Nd, IE)))), add(-3.901, Pr)), E)"
68,0.6418,29,"add(div(sub(sub(M, R), add(add(sub(La, M), mul(sub(La, E), sub(Nd, E))), mul(sub(La, EN), sub(Nd, IE)))), add(-3.613, Gd)), E)"
69,0.6420,37,"add(div(div(sub(Sm, IE), sub(EN, Pr)), Y), add(div(div(sub(EN, Pr), sub(E, La)), EN), add(div(div(sub(EN, Pr), sub(M, LAS)), M), add(div(sub(M, Y), 4.016), E))))"
70,0.6432,17,"add(div(sub(Gd, LAS), 3.019), add(div(div(sub(Sm, Y), sub(EN, Nd)), Y), E))"
71,0.6442,17,"add(div(sub(Sm, Y), mul(sub(EN, Nd), Y)), add(div(sub(Gd, LAS), 2.795), E))"
72,0.6443,45,"sub(add(div(sub(M, E), M), E), div(add(add(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, Y))), mul(sub(La, Ce), sub(Nd, LAS))), mul(sub(La, Ce), sub(Nd, LAS))), mul(sub(La, E), sub(Nd, La))), La))"
73,0.6450,17,"add(div(sub(Pr, LAS), 3.421), add(div(sub(Sm, Y), mul(Y, sub(EN, Nd))), E))"
74,0.6451,17,"add(div(sub(Sm, Y), mul(sub(EN, Nd), Y)), add(div(sub(Gd, LAS), 2.712), E))"
75,0.6461,17,"add(div(sub(Pr, LAS), 3.541), add(div(div(sub(Y, Sm), sub(Nd, EN)), Y), E))"
76,0.6464,25,"sub(sub(E, div(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), 2.161)), div(mul(sub(La, EN), sub(Nd, LAS)), Ce))"
77,0.6469,17,"add(div(sub(Pr, LAS), 3.624), add(div(div(sub(Y, Sm), sub(Nd, EN)), Y), E))"
78,0.6510,69,"add(div(sub(sub(M, La), add(add(add(sub(E, M), mul(sub(La, add(div(sub(sub(M, La), add(add(add(sub(E, M), mul(sub(La, E), sub(Nd, Y))), mul(sub(La, E), sub(Nd, Y))), mul(sub(La, EN), sub(Nd, IE)))), Y), E)), sub(Nd, Y))), mul(sub(La, E), sub(Nd, Y))), mul(sub(La, EN), sub(Nd, IE)))), Y), E)"
79,0.6519,17,"add(div(sub(Pr, LAS), 4.058), add(div(sub(Sm, Y), mul(Y, sub(EN, Nd))), E))"
80,0.6524,27,"add(mul(div(sub(EN, La), Ce), sub(Nd, Y)), add(div(sub(M, La), 2.643), add(div(mul(sub(E, La), sub(Nd, IE)), 2.643), E)))"
81,0.6546,29,"sub(sub(E, div(sub(La, M), 4.028)), div(add(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), mul(sub(La, EN), sub(Nd, IE))), 3.668))"
82,0.6546,29,"sub(sub(E, div(sub(La, M), 4.028)), div(add(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), mul(sub(La, EN), sub(Nd, IE))), 3.668))"
83,0.6548,36,"sub(sub(E, div(sub(La, M), 4.028)), div(add(add(sub(La, M), mul(sub(La, add(div(neg(1.623), add(E, M)), E)), sub(Nd, IE))), mul(sub(La, EN), sub(Nd, IE))), 4.028))"
84,0.6553,29,"sub(sub(E, div(sub(La, M), 4.028)), div(add(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), mul(sub(La, EN), sub(Nd, IE))), 4.028))"
85,0.6553,29,"sub(sub(E, div(sub(La, M), 4.028)), div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), mul(sub(La, E), sub(Nd, IE))), 4.028))"
86,0.6553,29,"sub(sub(E, div(sub(La, M), 4.028)), div(add(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), mul(sub(La, EN), sub(Nd, IE))), 4.028))"
87,0.6553,29,"sub(sub(E, div(sub(La, M), 4.028)), div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), mul(sub(La, E), sub(Nd, IE))), 4.028))"
88,0.6553,29,"sub(sub(E, div(sub(La, M), 4.028)), div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), mul(sub(La, E), sub(Nd, IE))), 4.028))"
89,0.6595,35,"sub(E, div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), add(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), mul(sub(La, E), sub(Nd, Y)))), Y))"
90,0.6602,25,"mul(0.482, add(M, add(mul(sub(neg(EN), neg(6.022)), neg(sub(Nd, Y))), add(mul(sub(La, E), neg(sub(Nd, 5.417))), E))))"
91,0.6614,31,"add(div(sub(M, E), add(div(add(6.868, M), sub(Nd, Gd)), mul(add(M, LAS), div(LAS, IE)))), add(div(sub(6.249, La), div(M, sub(Nd, Gd))), E))"
92,0.6624,17,"add(div(div(sub(Y, LAS), sub(Nd, EN)), 4.782), sub(IE, sub(Y, add(E, -0.188))))"
93,0.6636,27,"add(mul(div(sub(EN, La), 3.683), sub(Nd, IE)), add(div(sub(M, La), 2.486), add(div(mul(sub(E, La), sub(Nd, Y)), 3.373), E)))"
94,0.6661,37,"add(div(div(sub(add(sub(LAS, Gd), div(IE, Sm)), neg(sub(Gd, M))), mul(mul(sub(R, Pr), add(Nd, Sm)), neg(sub(LAS, La)))), Pr), add(div(sub(M, La), sub(Nd, Y)), E))"
95,0.6678,27,"add(div(sub(Sm, La), mul(sub(M, LAS), Ce)), add(div(sub(7.512, LAS), LAS), add(div(sub(M, R), mul(sub(M, EN), 4.269)), E)))"
96,0.6683,35,"sub(E, div(add(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), add(add(sub(La, M), mul(sub(La, E), sub(Nd, IE))), mul(sub(La, E), sub(Nd, IE)))), Y))"
97,0.6687,25,"div(add(add(mul(IE, E), sub(Nd, E)), neg(mul(div(neg(Pr), sub(EN, Nd)), sub(div(LAS, LAS), div(Y, LAS))))), Y)"
98,0.6699,28,"mul(div(E, IE), add(add(Gd, div(sub(mul(Sm, div(La, LAS)), LAS), -4.428)), div(neg(sub(EN, E)), mul(add(Pr, Nd), sub(Sm, EN)))))"
99,0.6773,29,"sub(sub(E, div(add(sub(La, M), mul(sub(La, E), sub(Nd, Y))), div(add(Pr, R), La))), div(mul(sub(La, EN), sub(Nd, La)), Y))"
100,0.6777,27,"add(div(sub(Sm, R), mul(sub(M, LAS), M)), add(div(sub(7.512, Y), mul(sub(M, EN), La)), add(div(sub(Gd, LAS), LAS), E)))"
101,0.6783,37,"add(div(div(Nd, LAS), div(sub(div(M, div(sub(M, E), E)), mul(EN, IE)), div(div(Pr, Sm), sub(Y, R)))), add(div(sub(Gd, LAS), LAS), add(div(sub(Gd, LAS), LAS), E)))"
102,0.6827,15,"add(sub(IE, Y), add(div(sub(LAS, Y), mul(4.956, sub(EN, Nd))), E))"
103,0.6831,27,"add(div(sub(M, Y), LAS), add(div(sub(M, E), Nd), add(div(sub(EN, La), sub(mul(neg(LAS), sub(IE, R)), neg(R))), E)))"
104,0.6834,16,"sub(add(IE, add(div(sub(LAS, Y), mul(neg(5.119), sub(Nd, EN))), E)), Y)"
105,0.6834,16,"sub(add(IE, add(div(sub(LAS, Y), mul(neg(5.119), sub(Nd, EN))), E)), Y)"
106,0.6834,16,"sub(add(IE, add(div(sub(LAS, Y), mul(neg(5.119), sub(Nd, EN))), E)), Y)"
107,0.6840,23,"sub(sub(E, div(sub(E, EN), Nd)), div(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), add(Gd, -4.471)))"
108,0.6841,15,"add(div(sub(Sm, IE), mul(add(sub(Y, M), Y), sub(EN, Nd))), E)"
109,0.6857,15,"sub(add(IE, add(div(sub(LAS, Y), mul(-5.383, sub(Nd, EN))), E)), Y)"
110,0.6857,15,"sub(add(IE, add(div(sub(LAS, Y), mul(-5.383, sub(Nd, EN))), E)), Y)"
111,0.6857,15,"sub(add(IE, add(div(sub(LAS, Y), mul(-5.383, sub(Nd, EN))), E)), Y)"
112,0.6857,15,"sub(add(IE, add(div(sub(LAS, Y), mul(-5.383, sub(Nd, EN))), E)), Y)"
113,0.6881,15,"div(mul(IE, add(div(sub(LAS, Y), mul(5.527, sub(EN, Nd))), E)), Y)"
114,0.6881,15,"div(mul(IE, add(div(sub(LAS, Y), mul(5.527, sub(EN, Nd))), E)), Y)"
115,0.6887,15,"div(mul(IE, add(div(sub(LAS, Y), mul(5.627, sub(EN, Nd))), E)), Y)"
116,0.6904,21,"mul(0.482, add(M, add(mul(add(Nd, -5.163), sub(E, La)), add(div(sub(R, La), sub(Nd, R)), E))))"
117,0.6906,21,"add(div(sub(Gd, La), mul(3.455, sub(M, EN))), add(div(sub(M, Y), mul(4.131, sub(M, LAS))), E))"
118,0.6925,31,"add(div(sub(Pr, LAS), LAS), add(div(sub(Pr, Y), La), add(div(div(Nd, Y), div(sub(7.982, mul(Ce, Y)), div(div(Nd, Y), sub(La, R)))), E)))"
119,0.6929,24,"add(div(sub(M, La), add(sub(La, 6.432), mul(sub(M, LAS), div(neg(-5.015), 1.859)))), add(div(sub(Gd, LAS), LAS), E))"
120,0.6943,23,"sub(sub(E, div(sub(E, M), Nd)), div(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), add(Gd, -4.064)))"
121,0.6957,49,"sub(sub(E, div(sub(La, M), add(-3.833, Pr))), div(add(sub(E, sub(sub(E, div(sub(La, M), add(-3.833, Pr))), div(add(sub(E, M), mul(sub(La, EN), sub(Nd, IE))), add(-3.475, Pr)))), mul(sub(La, EN), sub(Nd, IE))), add(-3.475, Pr)))"
122,0.6977,29,"add(div(div(Nd, Y), div(sub(7.371, mul(Ce, Y)), div(div(Nd, Y), sub(La, R)))), add(div(sub(M, LAS), La), add(div(1.591, E), E)))"
123,0.7025,27,"add(div(sub(add(M, 1.730), LAS), E), add(div(div(Nd, Ce), div(sub(8.461, mul(Y, Y)), div(div(Nd, Ce), sub(La, R)))), E))"
124,0.7045,27,"add(0.332, add(div(div(Nd, Y), div(sub(7.400, mul(Y, Ce)), div(div(Nd, Ce), sub(La, R)))), add(div(sub(M, LAS), La), E)))"
125,0.7059,25,"add(div(div(Nd, Y), div(sub(7.896, mul(Ce, Y)), div(div(Nd, Y), sub(La, R)))), add(div(sub(Pr, LAS), 2.573), E))"
126,0.7059,25,"add(div(div(Nd, Y), div(sub(7.896, mul(Ce, Y)), div(div(Nd, Y), sub(La, R)))), add(div(sub(Pr, LAS), 2.573), E))"
127,0.7069,17,"sub(E, div(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), add(-3.613, IE)))"
128,0.7079,23,"add(div(div(Nd, La), div(mul(-4.997, IE), div(sub(7.416, La), sub(Y, R)))), add(div(sub(Pr, LAS), 2.573), E))"
129,0.7090,21,"add(div(div(-0.815, Y), sub(mul(IE, La), mul(IE, R))), add(div(sub(Y, IE), sub(EN, M)), E))"
130,0.7092,21,"add(div(sub(EN, E), mul(sub(M, LAS), IE)), add(div(sub(Gd, Y), mul(sub(M, EN), 2.376)), E))"
131,0.7107,27,"add(0.332, add(div(div(Nd, Ce), div(sub(7.400, mul(Y, Ce)), div(div(Nd, Ce), sub(La, R)))), add(div(sub(M, E), LAS), E)))"
132,0.7110,37,"add(div(neg(add(-5.359, E)), 2.444), add(div(sub(add(div(neg(add(-5.359, E)), 2.444), add(div(sub(mul(div(EN, Y), Gd), La), add(Nd, neg(Y))), E)), La), add(Nd, neg(Y))), E))"
133,0.7126,24,"mul(0.482, add(M, add(mul(sub(La, mul(0.482, add(M, add(mul(sub(La, E), -1.369), E)))), neg(sub(Nd, 5.348))), E)))"
134,0.7126,21,"sub(sub(E, div(sub(E, EN), Nd)), div(add(sub(La, M), mul(sub(La, EN), sub(Nd, IE))), 2.920))"
135,0.7183,31,"add(div(div(Nd, Ce), div(sub(add(div(sub(8.884, LAS), E), E), mul(Ce, Ce)), div(div(M, Ce), sub(La, R)))), add(div(sub(8.884, LAS), E), E))"
136,0.7213,25,"add(div(sub(7.923, Y), E), add(div(div(Nd, Y), div(sub(7.923, mul(Y, Y)), div(div(Nd, Y), sub(La, R)))), E))"
137,0.7225,45,"add(div(add(sub(M, Y), add(mul(sub(Nd, Y), sub(add(div(add(sub(M, Y), add(mul(sub(Nd, Y), sub(EN, La)), mul(add(Nd, -5.137), sub(EN, La)))), Y), E), La)), mul(add(Nd, -5.137), sub(EN, La)))), Y), E)"
138,0.7247,35,"add(div(sub(M, La), mul(Ce, sub(EN, Nd))), add(div(mul(add(sub(Nd, Gd), sub(La, Sm)), sub(sub(Ce, Nd), sub(M, Sm))), Y), add(div(sub(Pr, Y), 2.636), E)))"
139,0.7249,25,"add(div(sub(Sm, R), mul(sub(M, LAS), Sm)), add(div(sub(Gd, Y), mul(sub(M, EN), mul(sub(M, EN), E))), E))"
140,0.7275,17,"mul(0.482, add(M, add(mul(sub(sub(IE, Nd), div(Nd, La)), sub(La, E)), E)))"
141,0.7275,23,"add(div(sub(M, E), La), add(div(sub(M, La), 3.362), add(div(div(sub(La, EN), sub(5.992, Nd)), 3.362), E)))"
142,0.7280,17,"mul(0.482, add(M, add(mul(sub(Nd, Y), sub(E, La)), add(sub(7.668, Pr), E))))"
143,0.7287,24,"add(div(sub(M, neg(-3.893)), LAS), add(div(div(Nd, Ce), div(mul(Ce, -4.973), div(div(Nd, Ce), sub(La, R)))), E))"
144,0.7291,19,"sub(add(IE, add(div(sub(Nd, IE), sub(La, sub(EN, div(Y, sub(EN, La))))), E)), Y)"
145,0.7304,49,"add(div(sub(M, R), mul(sub(M, LAS), Nd)), add(div(sub(Gd, Y), mul(sub(M, EN), mul(sub(M, EN), add(div(sub(M, R), mul(sub(M, LAS), Nd)), add(div(sub(Gd, Y), mul(sub(M, EN), mul(sub(M, EN), M))), E))))), E))"
146,0.7304,49,"add(div(sub(M, R), mul(sub(M, LAS), Nd)), add(div(sub(Gd, Y), mul(sub(M, EN), mul(sub(M, EN), add(div(sub(M, R), mul(sub(M, LAS), Nd)), add(div(sub(Gd, Y), mul(sub(M, EN), mul(sub(M, EN), M))), E))))), E))"
147,0.7311,29,"mul(0.482, add(add(mul(0.482, add(add(M, 0.444), add(mul(sub(5.482, Nd), sub(La, EN)), E))), 0.482), add(mul(sub(5.482, Nd), sub(La, E)), E)))"
148,0.7331,20,"add(div(sub(EN, La), mul(neg(Y), sub(Pr, add(Nd, 0.237)))), add(div(sub(M, E), 4.049), E))"
